gene_id_clean,GSE130_lfc,GSE130_padj,GSE135_lfc,GSE135_padj,gene_symbol,status_130,status_135,Category,Sub_Category
ENSG00000008517,2.4267715002259,2.19727362585344e-19,1.14027697875075,0.0001429157986579,IL32,UP,UP,Shared_Up,Shared
ENSG00000161896,5.3159386799917,1.9425254191200202e-15,0.128486492216894,0.835558912185513,IP6K3,UP,NS,Unique_Up,Unique_to_130
ENSG00000162897,2.50874854633848,6.3911403536265e-12,1.57226335791396,4.39476343072655e-08,FCAMR,UP,UP,Shared_Up,Shared
ENSG00000115129,2.26141471178043,1.5481302610062397e-11,1.63813174256715,1.06982477211985e-12,TP53I3,UP,UP,Shared_Up,Shared
ENSG00000047597,2.40322104183604,2.50339997403346e-09,-0.297232989649075,0.442616508851344,XK,UP,NS,Unique_Up,Unique_to_130
ENSG00000171132,1.92695865176592,1.68614987977075e-08,0.634767502465374,0.0913120997324492,PRKCE,UP,NS,Unique_Up,Unique_to_130
ENSG00000059573,1.14058636963717,2.62184089662023e-08,0.397559152329569,0.0218817552421259,ALDH18A1,UP,UP,Shared_Up,Shared
ENSG00000140450,1.61728622104257,4.76484933150635e-08,-0.222527228356027,0.519682916588797,ARRDC4,UP,NS,Unique_Up,Unique_to_130
ENSG00000182481,1.87604311708285,7.64861485411616e-08,0.96807530894733,3.50786331081596e-07,KPNA2,UP,UP,Shared_Up,Shared
ENSG00000125746,0.953994323759287,1.32628683218377e-07,0.633734437253239,2.28236893484204e-07,EML2,UP,UP,Shared_Up,Shared
ENSG00000166033,0.976519414093728,1.51561006484796e-07,0.458354357471026,0.0014684377468861,HTRA1,UP,UP,Shared_Up,Shared
ENSG00000125354,0.714636032875003,2.39565052636117e-07,0.749163672743065,1.06286595161454e-08,SEPTIN6,UP,UP,Shared_Up,Shared
ENSG00000103966,1.24552926216797,3.45721948717638e-07,0.560314737336958,0.0007052130369639,EHD4,UP,UP,Shared_Up,Shared
ENSG00000229981,5.10169535137934,3.96065160495818e-07,4.17570268345469,6.47898959032911e-06,LINC01435,UP,UP,Shared_Up,Shared
ENSG00000147065,1.01743348564533,4.23665908761007e-07,0.821875792440519,7.20847946108934e-07,MSN,UP,UP,Shared_Up,Shared
ENSG00000143390,0.850627270453218,1.18282876370084e-06,1.05571433077237,4.269654437573881e-15,RFX5,UP,UP,Shared_Up,Shared
ENSG00000073734,-0.977025420830335,1.18282876370084e-06,0.589697025258766,0.0150945788305181,ABCB11,DOWN,UP,Contradictory,UP_in_135_DOWN_in_130
ENSG00000125775,1.76300233157402,1.18282876370084e-06,1.40329065801958,2.11889496705399e-06,SDCBP2,UP,UP,Shared_Up,Shared
ENSG00000164251,1.7908332860473,1.27878373569099e-06,0.233719507643845,0.484101639040915,F2RL1,UP,NS,Unique_Up,Unique_to_130
ENSG00000013364,1.09949849230303,1.47279756934662e-06,0.820596709440065,2.90262488982753e-05,MVP,UP,UP,Shared_Up,Shared
ENSG00000158186,1.42072634210701,1.58263313096801e-06,1.21896256591546,6.10812871240237e-12,MRAS,UP,UP,Shared_Up,Shared
ENSG00000115762,0.855788782975585,1.86349139502202e-06,0.105584086906646,0.574829704564582,PLEKHB2,UP,NS,Unique_Up,Unique_to_130
ENSG00000109103,1.24107097512446,2.47937834643462e-06,0.85790962669433,9.70110732514908e-10,UNC119,UP,UP,Shared_Up,Shared
ENSG00000136830,1.21527527024799,2.8434326017164e-06,1.16505315785608,2.72802515464859e-08,NIBAN2,UP,UP,Shared_Up,Shared
ENSG00000151715,1.86647537003948,3.52240240627958e-06,0.800684336691564,0.0126580376215775,TMEM45B,UP,UP,Shared_Up,Shared
ENSG00000159720,0.844814938088815,3.64308861791026e-06,1.1116519860618,1.06408024655121e-18,ATP6V0D1,UP,UP,Shared_Up,Shared
ENSG00000179218,0.870298091209557,3.64308861791026e-06,1.04508882999283,5.4952047224127896e-11,CALR,UP,UP,Shared_Up,Shared
ENSG00000177606,1.32764035534751,4.17782440274295e-06,-1.48612088213705,1.9284197399974e-09,JUN,UP,DOWN,Contradictory,UP_in_130_DOWN_in_135
ENSG00000198074,5.59947581717664,4.54962591995512e-06,5.46941814997901,5.99557156539078e-20,AKR1B10,UP,UP,Shared_Up,Shared
ENSG00000107736,-1.43268463966531,7.35720170751566e-06,0.566161150007525,0.0156065728350518,CDH23,DOWN,UP,Contradictory,UP_in_135_DOWN_in_130
ENSG00000114999,0.742378536377383,8.925851598933e-06,0.596588790905186,4.63315214895031e-09,TTL,UP,UP,Shared_Up,Shared
ENSG00000214050,1.24906321571422,8.925851598933e-06,0.231361905805247,0.418853666468686,FBXO16,UP,NS,Unique_Up,Unique_to_130
ENSG00000006327,3.04576630077396,8.925851598933e-06,1.60630426504123,8.07494583490737e-06,TNFRSF12A,UP,UP,Shared_Up,Shared
ENSG00000135127,2.01919443705928,9.15438618171927e-06,1.71834512559792,1.19025872989633e-08,BICDL1,UP,UP,Shared_Up,Shared
ENSG00000106366,2.67812279336021,9.6747141757161e-06,-1.13064459193081,0.0025636905253632,SERPINE1,UP,DOWN,Contradictory,UP_in_130_DOWN_in_135
ENSG00000072736,-0.477449588318668,9.6747141757161e-06,1.05147553689044,3.79558534555101e-05,NFATC3,DOWN,UP,Contradictory,UP_in_135_DOWN_in_130
ENSG00000185215,0.740668025408438,9.79673000816772e-06,0.421374228658397,0.14546787886255,TNFAIP2,UP,NS,Unique_Up,Unique_to_130
ENSG00000010932,3.7044454333868,9.96825777205281e-06,1.36354412826291,0.0020856817729523,FMO1,UP,UP,Shared_Up,Shared
