human_id,Symbol,Pattern,Status_Hoang_et_al,Hoang_et_al_lfc,Hoang_et_al_padj,Status_Govaere_et_al,Govaere_et_al_lfc,Govaere_et_al_padj,Status_In_house_MCD,In_house_MCD_lfc,In_house_MCD_padj,Status_External_MCD_1,External_MCD_1_lfc,External_MCD_1_padj,Status_External_MCD_2,External_MCD_2_lfc,External_MCD_2_padj
ENSG00000100979,PLTP,UP in 1 (External_MCD_2) | DOWN in 1 (External_MCD_1),NS,0.743292607168421,0.075811505109263,NS,0.592314599946273,0.0390449004719021,NS,0.508998481084908,0.0822402892820117,DOWN,-1.5541391177798958,0.0071970278039867,UP,1.0923137401946663,0.048422606274629
ENSG00000185924,RTN4RL1,UP in 1 (Govaere_et_al) | DOWN in 1 (External_MCD_2),NS,0.673770397606691,0.0507527251148549,UP,1.19482603851606,7.92265841208071e-06,NS,-0.2378580622753472,0.2904055123403385,NS,-0.6679061653697489,0.0126288640893594,DOWN,-0.960444039974903,0.0415325256490569
ENSG00000244474,UGT1A4,"UP in 1 (Govaere_et_al) | DOWN in 2 (External_MCD_1,External_MCD_2)",NS,-0.3298778479774,0.455300534254718,UP,1.38376827530423,3.65647442237756e-07,NS,-1.0706088983982156,0.0105085613558239,DOWN,-2.1177956233237656,0.0003739156025477,DOWN,-3.2121144868831464,0.0065133642742445
ENSG00000075275,CELSR1,"UP in 1 (Govaere_et_al) | DOWN in 2 (In_house_MCD,External_MCD_1)",NS,-0.344452091237456,0.359071139953539,UP,0.83630591019454,2.50941054683424e-06,DOWN,-1.645044715678189,5.3457218181677864e-08,DOWN,-2.479767142605312,6.230090947143001e-12,NS,-0.8009372830593859,0.2066846599835886
ENSG00000174885,NLRP6,"UP in 1 (Govaere_et_al) | DOWN in 2 (In_house_MCD,External_MCD_1)",NS,0.650548872154002,0.258370926877476,UP,1.29644382243064,3.93416685326417e-05,DOWN,-2.0591929280870254,4.174707633744052e-13,DOWN,-2.495368654276342,5.468960085159932e-65,NS,-0.148001304819385,0.8703339043215254
ENSG00000241635,UGT1A1,UP in 1 (Govaere_et_al) | DOWN in 1 (External_MCD_2),NS,0.726292023786968,0.20194810756656,UP,1.45295808924441,3.09036687219868e-05,NS,0.1238085553561848,0.6996631578432669,NS,-0.4661842156870483,0.1330113584846609,DOWN,-2.569053042437617,1.64960439154894e-09
ENSG00000121966,CXCR4,"UP in 4 (Hoang_et_al,In_house_MCD,External_MCD_1,External_MCD_2) | DOWN in 1 (Govaere_et_al)",UP,1.24973966478,0.0080753987735976,DOWN,-2.11106082302726,6.43073924373977e-17,UP,2.7793603470080064,1.4592878653766398e-13,UP,2.451957774737037,1.2328859493862918e-07,UP,3.711028769958364,1.738772376740998e-14
ENSG00000188611,ASAH2,UP in 1 (Govaere_et_al) | DOWN in 1 (External_MCD_1),NS,0.424653958522317,0.21651173194734,UP,0.821165586425577,0.0018044837546531,NS,-0.1395214588451715,0.4378991066088171,DOWN,-0.9144350840829392,6.778852757626827e-09,NS,-0.5238354257782819,0.2576295709282999
ENSG00000025708,TYMP,"UP in 2 (Hoang_et_al,Govaere_et_al) | DOWN in 3 (In_house_MCD,External_MCD_1,External_MCD_2)",UP,1.20316291113125,2.01592387289022e-05,UP,1.3016310333814,1.15799203973564e-09,DOWN,-1.845879845669636,2.2861036524624045e-25,DOWN,-2.4540900537049426,2.4333432463463777e-11,DOWN,-2.208642606538658,5.660873063765359e-07
ENSG00000185885,IFITM1,"UP in 2 (Hoang_et_al,External_MCD_2) | DOWN in 1 (External_MCD_1)",UP,1.53600328459018,0.0058695843352165,NS,-0.231831014315829,0.541339456343728,NS,-1.209640986331493,0.0281523730268523,DOWN,-1.034683105986291,6.602161695864725e-17,UP,1.3341673699424017,0.0002152099486664
