gene_id,gene_symbol
ENSG00000164626.9,KCNK5
ENSG00000132305.22,IMMT
ENSG00000029153.15,BMAL2
ENSG00000112149.11,CD83
ENSG00000175773.16,ZBTB44-DT
ENSG00000060656.20,PTPRU
ENSG00000277775.2,H3C7
ENSG00000183049.14,CAMK1D
ENSG00000261404.8,PSMD7-DT
ENSG00000246022.5,ALDH1L1-AS2
ENSG00000100650.16,SRSF5
ENSG00000118922.19,KLF12
ENSG00000089682.18,RBM41
ENSG00000179051.14,RCC2
ENSG00000177485.7,ZBTB33
ENSG00000132879.14,FBXO44
ENSG00000143476.18,DTL
ENSG00000234380.4,LINC01426
ENSG00000117091.10,CD48
ENSG00000121064.13,SCPEP1
ENSG00000198945.8,L3MBTL3
ENSG00000103187.8,COTL1
ENSG00000198689.13,SLC9A6
ENSG00000198429.10,ZNF69
ENSG00000231969.5,MMADHC-DT
ENSG00000198208.12,RPS6KL1
ENSG00000224843.9,LINC00240
ENSG00000105784.16,RUNDC3B
ENSG00000197879.17,MYO1C
ENSG00000171385.11,KCND3
ENSG00000236859.9,NIFK-AS1
ENSG00000225791.8,TRAM2-AS1
ENSG00000119383.21,PTPA
ENSG00000204767.4,INSYN2B
ENSG00000153291.16,SLC25A27
ENSG00000102287.19,GABRE
ENSG00000112249.14,ASCC3
ENSG00000167208.16,SNX20
ENSG00000160326.14,SLC2A6
ENSG00000151276.24,MAGI1
ENSG00000287200.2,LOC124902947
ENSG00000172115.9,CYCS
ENSG00000234544.2,PTGES3P5
ENSG00000119711.13,ALDH6A1
ENSG00000149050.10,ZNF214
ENSG00000176273.15,SLC35G1
ENSG00000176597.12,B3GNT5
ENSG00000173598.14,NUDT4
ENSG00000115520.9,COQ10B
ENSG00000105499.14,PLA2G4C
ENSG00000172667.11,ZMAT3
ENSG00000134901.14,POGLUT2
ENSG00000151224.13,MAT1A
ENSG00000164111.15,ANXA5
ENSG00000259023.4,LINC00524
ENSG00000126870.16,DYNC2I1
ENSG00000186432.10,KPNA4
ENSG00000221164.1,SNORA11F
ENSG00000197747.9,S100A10
ENSG00000108829.10,LRRC59
ENSG00000090339.9,ICAM1
ENSG00000105877.19,DNAH11
ENSG00000107551.21,RASSF4
ENSG00000114648.12,KLHL18
ENSG00000164488.12,DACT2
ENSG00000267659.6,LINC01482
ENSG00000236778.10,INTS6-AS1
ENSG00000116539.14,ASH1L
ENSG00000158234.13,FAIM
ENSG00000113119.13,TMCO6
ENSG00000065833.9,ME1
ENSG00000106683.15,LIMK1
ENSG00000110328.6,GALNT18
ENSG00000040531.16,CTNS
ENSG00000169507.10,SLC38A11
ENSG00000254986.8,DPP3
