gene_id,gene_symbol
ENSG00000288961.3,LOC124904009
ENSG00000123143.13,PKN1
ENSG00000231420.2,LINC01817
ENSG00000111249.14,CUX2
ENSG00000146859.6,TMEM140
ENSG00000131400.9,NAPSA
ENSG00000116212.16,LRRC42
ENSG00000235794.1,MTND3P21
ENSG00000204713.11,TRIM27
ENSG00000137801.11,THBS1
ENSG00000293493.2,VNN3P
ENSG00000112294.14,ALDH5A1
ENSG00000120341.19,SEC16B
ENSG00000248730.1,EGFLAM-AS4
ENSG00000252118.1,RNU6ATAC39P
ENSG00000293434.2,AHSA2P
ENSG00000154553.17,PDLIM3
ENSG00000163249.13,CCNYL1
ENSG00000232110.9,LOC124902477
ENSG00000158423.17,RIBC1
ENSG00000211746.3,TRBV19
ENSG00000215883.11,CYB5RL
ENSG00000165457.15,FOLR2
ENSG00000242752.3,NMTRQ-TTG12-1
ENSG00000185950.9,IRS2
ENSG00000125304.10,TM9SF2
ENSG00000134909.19,ARHGAP32
ENSG00000202441.2,RNY4P10
ENSG00000155465.21,SLC7A7
ENSG00000011260.14,UTP18
ENSG00000120129.6,DUSP1
ENSG00000188993.4,LRRC66
ENSG00000148057.16,IDNK
ENSG00000177370.5,TIMM22
ENSG00000115539.15,PDCL3
ENSG00000236753.8,MKLN1-AS
ENSG00000166503.10,HDGFL3
ENSG00000116830.12,TTF2
ENSG00000236049.1,LINC01920
ENSG00000255652.6,LINC02963
ENSG00000196569.14,LAMA2
ENSG00000236799.1,LINC02626
ENSG00000152990.14,ADGRA3
ENSG00000163590.14,PPM1L
ENSG00000169951.10,ZNF764
ENSG00000167355.8,OR51B5
ENSG00000257114.4,LINC02450
ENSG00000235162.9,C12orf75
ENSG00000119636.16,BBOF1
ENSG00000138378.20,STAT4
ENSG00000168393.13,DTYMK
ENSG00000223534.1,HLA-DQB1-AS1
ENSG00000166452.12,AKIP1
ENSG00000074319.13,TSG101
ENSG00000110934.13,BIN2
ENSG00000141506.15,PIK3R5
ENSG00000128268.12,MGAT3
ENSG00000166484.20,MAPK7
ENSG00000163481.8,RNF25
ENSG00000248445.6,SEMA6A-AS1
ENSG00000139351.15,SYCP3
ENSG00000154258.17,ABCA9
ENSG00000290574.3,HLA-J
ENSG00000249242.8,TMEM150C
ENSG00000181690.8,PLAG1
ENSG00000144357.18,UBR3
ENSG00000289535.3,LOC105379040
ENSG00000187260.16,WDR86
ENSG00000069329.19,VPS35
ENSG00000168032.10,ENTPD3
ENSG00000160318.6,CLDND2
ENSG00000223409.1,RPL17P17
ENSG00000146094.16,DOK3
ENSG00000079462.8,PAFAH1B3
ENSG00000211970.3,IGHV4-61
ENSG00000196542.9,SPTSSB
ENSG00000211899.10,IGHM
ENSG00000086289.13,EPDR1
ENSG00000222145.1,LOC124901521
ENSG00000226609.3,SNX30-DT
ENSG00000163606.11,CD200R1
ENSG00000150995.21,ITPR1
ENSG00000176014.13,TUBB6
ENSG00000168476.12,REEP4
ENSG00000134020.8,PEBP4
ENSG00000120889.13,TNFRSF10B
ENSG00000177272.10,KCNA3
ENSG00000213445.10,SIPA1
ENSG00000157216.17,SSBP3
ENSG00000035720.8,STAP1
ENSG00000124701.6,APOBEC2
ENSG00000091844.8,RGS17
ENSG00000174775.18,HRAS
ENSG00000258890.8,CEP95
ENSG00000110442.12,COMMD9
ENSG00000066185.13,ZMYND12
ENSG00000128573.28,FOXP2
ENSG00000236801.1,RPL24P8
ENSG00000164253.14,WDR41
ENSG00000238194.2,PHACTR3-AS1
ENSG00000171357.6,LURAP1
ENSG00000178795.10,GDPD4
ENSG00000267452.4,LINC02072
ENSG00000177646.20,ACAD9
ENSG00000249307.9,LINC01088
ENSG00000027697.16,IFNGR1
ENSG00000141968.8,VAV1
ENSG00000100418.8,DESI1
ENSG00000137996.13,RTCA
ENSG00000144589.22,STK11IP
ENSG00000116663.11,FBXO6
ENSG00000125977.7,EIF2S2
ENSG00000290867.2,LINC01145
ENSG00000196782.13,MAML3
ENSG00000186660.15,ZFP91
ENSG00000091536.20,MYO15A
ENSG00000108883.13,EFTUD2
ENSG00000117592.9,PRDX6
ENSG00000172382.10,PRSS27
ENSG00000132837.15,DMGDH
ENSG00000067057.19,PFKP
ENSG00000115685.15,PPP1R7
ENSG00000166037.11,CEP57
ENSG00000174348.14,PODN
ENSG00000251165.7,F11-AS1
ENSG00000125952.21,MAX
ENSG00000290993.2,RPL32P3
ENSG00000188549.13,CCDC9B
ENSG00000089050.16,RBBP9
ENSG00000102962.5,CCL22
ENSG00000095787.26,WAC
ENSG00000132313.15,MRPL35
ENSG00000260388.2,LINC00562
ENSG00000269289.7,LOC100505851
ENSG00000185261.16,KIAA0825
ENSG00000140092.16,FBLN5
ENSG00000184210.6,DGAT2L6
ENSG00000175324.10,LSM1
ENSG00000204604.13,ZNF468
ENSG00000134308.14,YWHAQ
ENSG00000168621.15,GDNF
ENSG00000120158.12,RCL1
ENSG00000229261.1,LOC101928994
ENSG00000111665.12,CDCA3
ENSG00000178401.16,DNAJC22
ENSG00000150991.16,UBC
ENSG00000089505.18,CMTM1
ENSG00000167657.14,DAPK3
ENSG00000169021.6,UQCRFS1
ENSG00000101213.7,PTK6
ENSG00000239704.12,CDRT4
ENSG00000112655.16,PTK7
ENSG00000132793.12,LPIN3
ENSG00000115884.11,SDC1
ENSG00000198876.13,DCAF12
ENSG00000053918.20,KCNQ1
ENSG00000168792.5,ABHD15
ENSG00000264672.7,SEPTIN4-AS1
ENSG00000171729.14,TMEM51
ENSG00000010072.16,SPRTN
ENSG00000136770.11,DNAJC1
ENSG00000265102.1,MIR3942
ENSG00000266028.8,SRGAP2
ENSG00000150594.7,ADRA2A
ENSG00000104369.5,JPH1
ENSG00000160783.19,PMF1
ENSG00000185477.6,GPRIN3
ENSG00000165511.7,ZNF22-AS1
ENSG00000211804.4,TRDV1
ENSG00000156973.14,PDE6D
ENSG00000186106.11,ANKRD46
ENSG00000244687.13,UBE2V1
ENSG00000250473.1,DUTP7
ENSG00000155962.13,CLIC2
ENSG00000155256.18,ZFYVE27
ENSG00000136319.12,TTC5
ENSG00000072134.16,EPN2
ENSG00000006747.15,SCIN
ENSG00000123119.12,NECAB1
ENSG00000250733.6,C8orf17
ENSG00000139687.17,RB1
ENSG00000101134.12,DOK5
ENSG00000197043.15,ANXA6
ENSG00000127022.16,CANX
ENSG00000204070.10,SYS1
ENSG00000239923.3,RN7SL864P
ENSG00000226159.3,LINC01375
ENSG00000101187.16,SLCO4A1
ENSG00000121390.19,PSPC1
ENSG00000172497.9,ACOT12
ENSG00000248677.3,LINC02102
ENSG00000068796.19,KIF2A
ENSG00000171016.13,PYGO1
ENSG00000167699.14,GLOD4
ENSG00000235244.7,DANT2
ENSG00000176092.17,CRYBG2
ENSG00000258735.2,PPP1R13B-DT
ENSG00000241560.8,ZBTB20-AS1
ENSG00000226297.1,RPL17P14
ENSG00000109265.15,CRACD
ENSG00000250564.3,LINC02999
ENSG00000166268.11,MYRFL
ENSG00000147255.19,IGSF1
ENSG00000224796.1,RPL32P1
ENSG00000119487.17,MAPKAP1
ENSG00000136161.13,RCBTB2
ENSG00000162745.11,OLFML2B
ENSG00000188649.16,CC2D2B
ENSG00000196792.12,STRN3
ENSG00000159640.17,ACE
ENSG00000143858.12,SYT2
ENSG00000236863.2,RPL23AP23
ENSG00000206560.12,ANKRD28
ENSG00000177383.5,MAGEF1
ENSG00000278921.2,EPB41L4A-DT
ENSG00000105810.10,CDK6
ENSG00000148331.12,ASB6
ENSG00000255774.3,LINC02747
ENSG00000119559.17,C19orf25
ENSG00000102317.18,RBM3
ENSG00000158571.11,PFKFB1
ENSG00000214357.9,NEURL1B
ENSG00000035862.13,TIMP2
ENSG00000099256.19,PRTFDC1
ENSG00000162654.9,GBP4
ENSG00000235777.1,DPYD-AS2
ENSG00000146216.14,TTBK1
ENSG00000102837.7,OLFM4
ENSG00000119650.13,IFT43
ENSG00000141577.14,CEP131
ENSG00000112624.14,BICRAL
ENSG00000140279.13,DUOX2
ENSG00000160606.11,TLCD1
ENSG00000228812.10,LAMA5-AS1
ENSG00000280424.1,LOC730668
ENSG00000111450.15,STX2
ENSG00000238078.1,LINC01352
ENSG00000131183.11,SLC34A1
ENSG00000286024.4,LOC105372432
ENSG00000105676.14,ARMC6
ENSG00000153060.8,TEKT5
ENSG00000168883.20,USP39
ENSG00000087995.16,METTL2A
ENSG00000266709.1,MGC12916
ENSG00000133477.17,FAM83F
ENSG00000145022.5,TCTA
ENSG00000059377.19,TBXAS1
ENSG00000263968.2,RN7SL381P
ENSG00000290394.3,PKD1P6-NPIPP1
ENSG00000113971.21,NPHP3
ENSG00000082512.15,TRAF5
ENSG00000165521.16,EML5
ENSG00000260852.2,FBXL19-AS1
ENSG00000162851.8,TFB2M
ENSG00000057757.10,PITHD1
ENSG00000108551.5,RASD1
ENSG00000257671.1,KRT7-AS
ENSG00000101166.16,PRELID3B
ENSG00000213918.11,DNASE1
ENSG00000188677.15,PARVB
ENSG00000174808.12,BTC
ENSG00000005175.10,RPAP3
ENSG00000116679.17,IVNS1ABP
ENSG00000250116.3,RHOQ-AS1
ENSG00000183281.15,PLGLB1
ENSG00000104415.14,CCN4
ENSG00000052802.13,MSMO1
ENSG00000115216.14,NRBP1
ENSG00000130520.11,LSM4
ENSG00000261978.2,LOC124904072
ENSG00000182544.9,MFSD5
ENSG00000143952.20,VPS54
ENSG00000211799.3,TRAV19
ENSG00000160803.8,UBQLN4
ENSG00000212719.16,LINC02693
ENSG00000204934.11,ATP6V0E2-AS1
ENSG00000159618.16,ADGRG5
ENSG00000129450.9,SIGLEC9
ENSG00000133256.13,PDE6B
ENSG00000150681.10,RGS18
ENSG00000128606.13,LRRC17
ENSG00000188580.16,NKAIN2
ENSG00000103253.19,HAGHL
ENSG00000273145.2,LOC124905134
ENSG00000119900.9,OGFRL1
ENSG00000259626.2,MTND3P12
ENSG00000125945.16,ZNF436
ENSG00000251600.10,GUSBP5
ENSG00000189108.14,IL1RAPL2
ENSG00000099810.21,MTAP
ENSG00000188404.10,SELL
ENSG00000144791.10,LIMD1
ENSG00000114738.11,MAPKAPK3
ENSG00000230989.8,HSBP1
ENSG00000185379.21,RAD51D
ENSG00000101493.11,ZNF516
ENSG00000141639.12,MAPK4
ENSG00000005020.13,SKAP2
ENSG00000047621.12,FERRY3
ENSG00000033170.17,FUT8
ENSG00000172409.7,CLP1
ENSG00000156381.9,ANKRD9
ENSG00000247240.11,UBL7-DT
ENSG00000288568.2,ZCCHC14-DT
ENSG00000091127.14,PUS7
ENSG00000134333.15,LDHA
ENSG00000109193.12,SULT1E1
ENSG00000266875.2,RN7SL408P
ENSG00000172171.11,TEFM
ENSG00000187837.5,H1-2
ENSG00000252130.1,RNU6-1045P
ENSG00000138050.15,THUMPD2
ENSG00000178860.9,MSC
ENSG00000151014.6,NOCT
ENSG00000116871.16,MAP7D1
ENSG00000186566.13,GPATCH8
ENSG00000015475.19,BID
ENSG00000159479.17,MED8
ENSG00000106723.17,SPIN1
ENSG00000159708.18,LRRC36
ENSG00000167601.12,AXL
ENSG00000011114.15,BTBD7
ENSG00000107897.20,ACBD5
ENSG00000100439.11,ABHD4
ENSG00000141279.18,NPEPPS
ENSG00000237036.8,ZEB1-AS1
ENSG00000158292.7,GPR153
ENSG00000185721.14,DRG1
ENSG00000187555.17,USP7
ENSG00000204577.12,LILRB3
ENSG00000100376.12,FAM118A
ENSG00000224551.1,HMGB3P21
ENSG00000077147.16,TM9SF3
ENSG00000126785.13,RHOJ
ENSG00000138018.19,SELENOI
ENSG00000206562.12,METTL6
ENSG00000179010.16,MRFAP1
ENSG00000214835.3,RPL23AP6
ENSG00000100023.20,PPIL2
ENSG00000228723.7,SRGAP3-AS2
ENSG00000026103.25,FAS
ENSG00000252782.1,RNU6-341P
ENSG00000196313.13,POM121
ENSG00000179933.6,C14orf119
ENSG00000237948.1,MTATP6P20
ENSG00000130985.17,UBA1
ENSG00000049192.15,ADAMTS6
ENSG00000120899.18,PTK2B
ENSG00000137814.12,HAUS2
ENSG00000149527.18,PLCH2
ENSG00000291010.2,MRPS31P5
ENSG00000174586.11,ZNF497
ENSG00000088970.16,KIZ
ENSG00000120694.20,HSPH1
ENSG00000179862.7,CITED4
ENSG00000158042.9,MRPL17
ENSG00000281106.4,TMEM272
ENSG00000198898.16,CAPZA2
ENSG00000173406.16,DAB1
ENSG00000111405.9,ENDOU
ENSG00000242732.6,RTL5
ENSG00000164403.15,SHROOM1
ENSG00000138119.17,MYOF
ENSG00000096092.6,TMEM14A
ENSG00000064886.14,CHI3L2
ENSG00000161011.20,SQSTM1
ENSG00000226770.1,LINC03012
ENSG00000293104.1,LOC651337
ENSG00000166147.16,FBN1
ENSG00000285793.2,ANAPC1P2
ENSG00000154743.19,TSEN2
ENSG00000290860.2,CCT6P3
ENSG00000232472.1,EEF1B2P3
ENSG00000165660.8,ABRAXAS2
ENSG00000125821.13,DTD1
ENSG00000285884.4,LOC105378268
ENSG00000162643.13,DNAI3
ENSG00000159593.15,NAE1
ENSG00000249437.8,NAIP
ENSG00000253729.9,PRKDC
ENSG00000169398.20,PTK2
ENSG00000164136.17,IL15
ENSG00000162676.13,GFI1
ENSG00000163637.13,PRICKLE2
ENSG00000254996.5,ANKHD1-EIF4EBP3
ENSG00000207205.1,RNVU1-15
ENSG00000246523.11,FZD4-DT
ENSG00000144283.23,PKP4
ENSG00000181885.18,CLDN7
ENSG00000225376.7,TMEM246-AS1
ENSG00000250195.2,LOC105377448
ENSG00000198176.13,TFDP1
ENSG00000174990.8,CA5A
ENSG00000163697.18,APBB2
ENSG00000132286.12,TIMM10B
ENSG00000257467.6,PPFIA2-AS1
ENSG00000068305.19,MEF2A
ENSG00000214988.4,RPL7AP26
ENSG00000166598.16,HSP90B1
ENSG00000177058.12,SLC38A9
ENSG00000006025.13,OSBPL7
ENSG00000108771.13,DHX58
ENSG00000178773.15,CPNE7
ENSG00000176533.13,GNG7
ENSG00000198734.12,F5
ENSG00000135324.6,MRAP2
ENSG00000211797.2,TRAV17
ENSG00000132950.19,ZMYM5
ENSG00000065600.13,PACC1
ENSG00000138303.19,ASCC1
ENSG00000222640.1,RNU2-51P
ENSG00000275835.5,TUBGCP5
ENSG00000132517.15,SLC52A1
ENSG00000169131.13,ZNF354A
ENSG00000104408.11,EIF3E
ENSG00000228570.8,NUTM2E
ENSG00000102898.13,NUTF2
ENSG00000197540.8,GZMM
ENSG00000223485.6,LINC01615
ENSG00000224877.4,NDUFAF8
ENSG00000232629.9,HLA-DQB2
ENSG00000095951.18,HIVEP1
ENSG00000003989.18,SLC7A2
ENSG00000148841.17,ITPRIP
ENSG00000175262.15,C1orf127
ENSG00000216192.1,MIR920
ENSG00000162639.16,HENMT1
ENSG00000183496.6,MEX3B
ENSG00000178342.5,KCNG2
ENSG00000254443.2,LOC124902623
ENSG00000141294.10,LRRC46
ENSG00000144559.11,TAMM41
ENSG00000113389.16,NPR3
ENSG00000293032.1,TMEM14EP
ENSG00000135605.13,TEC
ENSG00000283787.2,PRR33
ENSG00000014914.21,MTMR11
ENSG00000265817.4,FSBP
ENSG00000163739.5,CXCL1
ENSG00000242265.6,PEG10
ENSG00000290723.2,ULK4P2
ENSG00000196632.12,WNK3
ENSG00000152766.6,ANKRD22
ENSG00000166226.13,CCT2
ENSG00000122863.6,CHST3
ENSG00000223490.2,CHCHD2P5
ENSG00000100991.12,TRPC4AP
ENSG00000166145.15,SPINT1
ENSG00000168818.10,STX18
ENSG00000204525.18,HLA-C
ENSG00000164051.14,CCDC51
ENSG00000166575.17,TMEM135
ENSG00000132475.10,H3-3B
ENSG00000162521.19,RBBP4
ENSG00000161955.17,TNFSF13
ENSG00000230921.1,HAO2-IT1
ENSG00000103126.15,AXIN1
ENSG00000131203.13,IDO1
ENSG00000164442.11,CITED2
ENSG00000213862.4,RPL7AP62
ENSG00000243101.1,RPS3P7
ENSG00000150787.8,PTS
ENSG00000180822.12,PSMG4
ENSG00000140950.16,MEAK7
ENSG00000234995.1,RPS3AP28
ENSG00000233926.3,TLE1-DT
ENSG00000145794.17,MEGF10
ENSG00000136997.22,MYC
ENSG00000077463.15,SIRT6
ENSG00000222020.6,HDAC4-AS1
ENSG00000206053.13,JPT2
ENSG00000070019.5,GUCY2C
ENSG00000286543.2,LOC124900957
ENSG00000178199.14,ZC3H12D
ENSG00000214293.12,APTR
ENSG00000153029.16,MR1
ENSG00000144908.14,ALDH1L1
ENSG00000199933.1,RNY1P16
ENSG00000110427.17,KIAA1549L
ENSG00000136238.20,RAC1
ENSG00000197362.15,ZNF786
ENSG00000166197.17,NOLC1
ENSG00000186732.14,MPPED1
ENSG00000133065.11,SLC41A1
ENSG00000172738.13,TMEM217
ENSG00000084733.11,RAB10
ENSG00000107819.15,SFXN3
ENSG00000103353.16,UBFD1
ENSG00000108961.14,RANGRF
ENSG00000293317.2,ZNF702P
ENSG00000169762.17,TAPT1
ENSG00000163904.13,SENP2
ENSG00000065308.5,TRAM2
ENSG00000260372.8,AQP4-AS1
ENSG00000124802.12,EEF1E1
ENSG00000264553.1,MIR4257
ENSG00000255867.2,DENND5B-AS1
ENSG00000169217.9,CD2BP2
ENSG00000152137.8,HSPB8
ENSG00000171045.16,TSNARE1
ENSG00000171603.18,CLSTN1
ENSG00000198851.10,CD3E
ENSG00000244187.8,TMEM141
ENSG00000232458.1,LINC01450
ENSG00000218416.5,GPC1-AS1
ENSG00000105402.8,NAPA
ENSG00000257913.5,DDN-AS1
ENSG00000168421.14,RHOH
ENSG00000241244.1,IGKV1D-16
ENSG00000288063.1,LOC124906237
ENSG00000213693.4,SEC14L1P1
ENSG00000235009.2,LINC01883
ENSG00000139832.5,RAB20
ENSG00000131634.14,TMEM204
ENSG00000186074.19,CD300LF
ENSG00000163141.20,BNIPL
ENSG00000156097.13,GPR61
ENSG00000179772.8,FOXS1
ENSG00000198301.12,SDAD1
ENSG00000139988.10,RDH12
ENSG00000113905.5,HRG
ENSG00000150961.15,SEC24D
ENSG00000186205.14,MTARC1
ENSG00000258390.3,LINC02318
ENSG00000286086.2,LOC105374254
ENSG00000250040.2,RAF1P1
ENSG00000291133.2,DPY19L2P1
ENSG00000226010.1,LOC100419786
ENSG00000112195.9,TREML2
ENSG00000290611.1,CYP2G1P
ENSG00000104660.19,LEPROTL1
ENSG00000206344.9,HCG27
ENSG00000158560.14,DYNC1I1
ENSG00000170558.10,CDH2
ENSG00000173588.16,CEP83
ENSG00000240012.1,SLC9A9-AS1
ENSG00000120594.17,PLXDC2
ENSG00000141569.12,TRIM65
ENSG00000197601.15,FAR1
ENSG00000061656.11,SPAG4
ENSG00000016391.11,CHDH
ENSG00000104689.10,TNFRSF10A
ENSG00000198719.9,DLL1
ENSG00000185219.18,ZNF445
ENSG00000163918.12,RFC4
ENSG00000141404.17,GNAL
ENSG00000278053.5,DDX52
ENSG00000185104.21,FAF1
ENSG00000101255.13,TRIB3
ENSG00000145623.13,OSMR
ENSG00000174851.17,YIF1A
ENSG00000133193.13,VCF1
ENSG00000111700.13,SLCO1B3
ENSG00000198848.13,CES1
ENSG00000197558.14,SSPOP
ENSG00000215301.11,DDX3X
ENSG00000212181.1,LOC124900532
ENSG00000188659.10,SAXO2
ENSG00000291117.2,PLEKHM1P1
ENSG00000178202.14,POGLUT3
ENSG00000116874.12,WARS2
ENSG00000185515.16,BRCC3
ENSG00000161558.11,TMEM143
ENSG00000116741.8,RGS2
ENSG00000110876.11,SELPLG
ENSG00000182541.18,LIMK2
ENSG00000137312.15,FLOT1
ENSG00000132329.11,RAMP1
ENSG00000124688.14,MAD2L1BP
ENSG00000126016.17,AMOT
ENSG00000135540.12,NHSL1
ENSG00000101417.12,PXMP4
ENSG00000006625.18,GGCT
ENSG00000136738.15,STAM
ENSG00000184574.10,LPAR5
ENSG00000104884.17,ERCC2
ENSG00000101082.14,SLA2
ENSG00000152234.16,ATP5F1A
ENSG00000135679.27,MDM2
ENSG00000053524.13,MCF2L2
ENSG00000175485.3,OR52W1
ENSG00000089335.22,ZNF302
ENSG00000290706.2,FAM238C
ENSG00000257809.1,MYL6B-AS1
ENSG00000150403.18,TMCO3
ENSG00000197785.14,ATAD3A
ENSG00000184178.17,SCFD2
ENSG00000211941.3,IGHV3-11
ENSG00000198521.12,ZNF43
ENSG00000121690.11,DEPDC7
ENSG00000186665.10,C17orf58
ENSG00000141452.11,RMC1
ENSG00000112186.13,CAP2
ENSG00000186417.15,GLDN
ENSG00000159189.13,C1QC
ENSG00000203446.2,SUGCT-AS1
ENSG00000204381.12,LAYN
ENSG00000259248.8,USP3-AS1
ENSG00000172361.6,CFAP53
ENSG00000062096.15,ARSF
ENSG00000134594.5,RAB33A
ENSG00000136827.12,TOR1A
ENSG00000235532.3,LINC00402
ENSG00000146733.14,PSPH
ENSG00000108370.17,RGS9
ENSG00000101160.15,CTSZ
ENSG00000244038.11,DDOST
ENSG00000157020.18,SEC13
ENSG00000126391.14,FRMD8
ENSG00000089902.10,RCOR1
ENSG00000102178.13,UBL4A
ENSG00000136235.17,GPNMB
ENSG00000152620.13,NADK2
ENSG00000203872.7,C6orf163
ENSG00000152520.14,PAN3
ENSG00000180525.15,DIP2C-AS1
ENSG00000165271.17,NOL6
ENSG00000177981.11,ASB8
ENSG00000181544.16,FANCB
ENSG00000100029.18,PES1
ENSG00000237406.1,NDUFA9P1
ENSG00000103569.11,AQP9
ENSG00000268066.6,FMR1-AS1
ENSG00000255151.2,GLYATL1B
ENSG00000230207.1,RPL4P5
ENSG00000105053.11,VRK3
ENSG00000140538.17,NTRK3
ENSG00000229852.5,KHDC1-AS1
ENSG00000125386.16,FAM193A
ENSG00000115085.16,ZAP70
ENSG00000187266.14,EPOR
ENSG00000179088.16,C12orf42
ENSG00000105723.13,GSK3A
ENSG00000228513.1,LOC100419679
ENSG00000135740.17,SLC9A5
ENSG00000177688.7,SUMO4
ENSG00000174903.16,RAB1B
ENSG00000224506.4,LINC02523
ENSG00000252391.1,RNU6-638P
ENSG00000179262.10,RAD23A
ENSG00000260493.2,E2F5-DT
ENSG00000253040.1,RNA5SP454
ENSG00000217181.1,RPL21P63
ENSG00000196092.14,PAX5
ENSG00000135953.11,MFSD9
ENSG00000106799.15,TGFBR1
ENSG00000168131.4,OR2B2
ENSG00000145730.21,PAM
ENSG00000089847.13,ANKRD24
ENSG00000051523.12,CYBA
ENSG00000021355.13,SERPINB1
ENSG00000116678.20,LEPR
ENSG00000141576.16,RNF157
ENSG00000159199.14,ATP5MC1
ENSG00000171759.10,PAH
ENSG00000165487.14,MICU2
ENSG00000154813.10,DPH3
ENSG00000155561.15,NUP205
ENSG00000101898.8,MCTS2
ENSG00000237628.2,MTCO2P19
ENSG00000163071.11,SPATA18
ENSG00000064115.11,TM7SF3
ENSG00000101955.15,SRPX
ENSG00000199855.1,RNU6-490P
ENSG00000213809.9,KLRK1
ENSG00000173821.20,RNF213
ENSG00000235437.11,LINC01278
ENSG00000138757.15,G3BP2
ENSG00000131446.17,MGAT1
ENSG00000100889.12,PCK2
ENSG00000168807.17,SNTB2
ENSG00000261371.6,PECAM1
ENSG00000131171.13,SH3BGRL
ENSG00000133142.19,TCEAL4
ENSG00000161040.19,FBXL13
ENSG00000067798.16,NAV3
ENSG00000177181.15,RIMKLA
ENSG00000167978.19,SRRM2
ENSG00000128594.8,LRRC4
ENSG00000050820.17,BCAR1
ENSG00000284523.3,LOC105375421
ENSG00000115255.12,REEP6
ENSG00000139567.14,ACVRL1
ENSG00000163170.12,BOLA3
ENSG00000274605.5,PCCA-DT
ENSG00000179833.4,SERTAD2
ENSG00000155886.12,SLC24A2
ENSG00000171916.17,LGALS9C
ENSG00000249899.7,ITGA2-AS1
ENSG00000105939.14,ZC3HAV1
ENSG00000119673.16,ACOT2
ENSG00000106034.18,CPED1
ENSG00000121900.19,TMEM54
ENSG00000141699.11,RETREG3
ENSG00000136783.10,NIPSNAP3A
ENSG00000185527.12,PDE6G
ENSG00000163527.11,STT3B
ENSG00000013392.8,RWDD2A
ENSG00000165434.8,PGM2L1
ENSG00000196152.10,ZNF79
ENSG00000096384.20,HSP90AB1
ENSG00000107731.12,UNC5B
ENSG00000138380.18,CARF
ENSG00000170214.5,ADRA1B
ENSG00000259600.2,MTND4LP23
ENSG00000176108.9,CHMP6
ENSG00000106049.9,HIBADH
ENSG00000197860.10,SGTB
ENSG00000197102.14,DYNC1H1
ENSG00000152475.7,ZNF837
ENSG00000234546.6,LNCTAM34A
ENSG00000254064.2,PIWIL2-DT
ENSG00000157827.20,FMNL2
ENSG00000130349.10,MTRES1
ENSG00000116285.13,ERRFI1
ENSG00000171100.16,MTM1
ENSG00000014216.16,CAPN1
ENSG00000111339.12,ART4
ENSG00000224272.3,LOC124905349
ENSG00000250802.8,ZBED3-AS1
ENSG00000281649.4,EBLN3P
ENSG00000007237.19,GAS7
ENSG00000281831.1,HCP5B
ENSG00000106244.13,PDAP1
ENSG00000139793.21,MBNL2
ENSG00000164885.13,CDK5
ENSG00000092529.26,CAPN3
ENSG00000213942.3,RPL31P10
ENSG00000189376.12,C8orf76
ENSG00000147894.17,C9orf72
ENSG00000110811.20,P3H3
ENSG00000117593.12,DARS2
ENSG00000184992.13,BRI3BP
ENSG00000198843.14,SELENOT
ENSG00000188848.17,BEND4
ENSG00000243716.13,NPIPB5
ENSG00000126457.22,PRMT1
ENSG00000132330.18,SCLY
ENSG00000240770.6,C21orf91-OT1
ENSG00000149930.18,TAOK2
ENSG00000059691.12,GATB
ENSG00000259024.7,TVP23C-CDRT4
ENSG00000135480.17,KRT7
ENSG00000236709.1,DAPK1-IT1
ENSG00000232679.4,LINC02257
ENSG00000111203.13,ITFG2
ENSG00000196976.8,LAGE3
ENSG00000169826.8,CSGALNACT2
ENSG00000115355.18,CCDC88A
ENSG00000272602.6,ZNF595
ENSG00000257354.2,MIRLET7IHG
ENSG00000141485.17,SLC13A5
ENSG00000162595.8,DIRAS3
ENSG00000077549.19,CAPZB
ENSG00000115641.19,FHL2
ENSG00000241187.1,RPL21P57
ENSG00000136144.12,RCBTB1
ENSG00000126860.12,EVI2A
ENSG00000172780.17,RAB43
ENSG00000141551.15,CSNK1D
ENSG00000138385.16,SSB
ENSG00000115590.14,IL1R2
ENSG00000139645.11,ANKRD52
ENSG00000092108.22,SCFD1
ENSG00000082196.21,C1QTNF3
ENSG00000152214.14,RIT2
ENSG00000164035.10,EMCN
ENSG00000198933.11,TBKBP1
ENSG00000061987.16,MON2
ENSG00000164949.8,GEM
ENSG00000156869.14,FRRS1
ENSG00000135451.13,TROAP
ENSG00000160352.16,ZNF714
ENSG00000113578.18,FGF1
ENSG00000164116.17,GUCY1A1
ENSG00000105953.16,OGDH
ENSG00000114767.7,RRP9
ENSG00000244618.3,RN7SL334P
ENSG00000130699.20,TAF4
ENSG00000001630.18,CYP51A1
ENSG00000198105.16,ZNF248
ENSG00000259651.2,MTCO3P23
ENSG00000122435.11,TRMT13
ENSG00000247675.9,LRP4-AS1
ENSG00000269386.7,RAB11B-AS1
ENSG00000129675.16,ARHGEF6
ENSG00000114978.18,MOB1A
ENSG00000050426.16,LETMD1
ENSG00000166965.13,RCCD1
ENSG00000213782.7,DDX47
ENSG00000090020.11,SLC9A1
ENSG00000243477.6,NAA80
ENSG00000160013.10,PTGIR
ENSG00000143554.14,SLC27A3
ENSG00000141568.21,FOXK2
ENSG00000183258.12,DDX41
ENSG00000137693.14,YAP1
ENSG00000230371.1,KARS1P2
ENSG00000100796.18,PPP4R3A
ENSG00000175318.12,GRAMD2A
ENSG00000235954.10,TTC28-AS1
ENSG00000121310.17,ECHDC2
ENSG00000231858.5,STAT4-AS1
ENSG00000104824.18,HNRNPL
ENSG00000131242.18,RAB11FIP4
